feature,importance,fold
CODE_GENDER,122,1
FLAG_OWN_CAR,13,1
FLAG_OWN_REALTY,9,1
CNT_CHILDREN,2,1
AMT_INCOME_TOTAL,80,1
AMT_CREDIT,117,1
AMT_ANNUITY,287,1
AMT_GOODS_PRICE,174,1
REGION_POPULATION_RELATIVE,171,1
DAYS_BIRTH,397,1
DAYS_EMPLOYED,246,1
DAYS_REGISTRATION,207,1
DAYS_ID_PUBLISH,228,1
OWN_CAR_AGE,168,1
FLAG_MOBIL,0,1
FLAG_EMP_PHONE,0,1
FLAG_WORK_PHONE,68,1
FLAG_CONT_MOBILE,0,1
FLAG_PHONE,23,1
FLAG_EMAIL,0,1
CNT_FAM_MEMBERS,15,1
REGION_RATING_CLIENT,3,1
REGION_RATING_CLIENT_W_CITY,80,1
HOUR_APPR_PROCESS_START,52,1
REG_REGION_NOT_LIVE_REGION,0,1
REG_REGION_NOT_WORK_REGION,1,1
LIVE_REGION_NOT_WORK_REGION,14,1
REG_CITY_NOT_LIVE_CITY,33,1
REG_CITY_NOT_WORK_CITY,11,1
LIVE_CITY_NOT_WORK_CITY,7,1
EXT_SOURCE_1,585,1
EXT_SOURCE_2,486,1
EXT_SOURCE_3,548,1
APARTMENTS_AVG,37,1
BASEMENTAREA_AVG,45,1
YEARS_BEGINEXPLUATATION_AVG,62,1
YEARS_BUILD_AVG,22,1
COMMONAREA_AVG,51,1
ELEVATORS_AVG,19,1
ENTRANCES_AVG,20,1
FLOORSMAX_AVG,2,1
FLOORSMIN_AVG,16,1
LANDAREA_AVG,52,1
LIVINGAPARTMENTS_AVG,15,1
LIVINGAREA_AVG,35,1
NONLIVINGAPARTMENTS_AVG,21,1
NONLIVINGAREA_AVG,18,1
APARTMENTS_MODE,37,1
BASEMENTAREA_MODE,38,1
YEARS_BEGINEXPLUATATION_MODE,32,1
YEARS_BUILD_MODE,27,1
COMMONAREA_MODE,15,1
ELEVATORS_MODE,0,1
ENTRANCES_MODE,17,1
FLOORSMAX_MODE,3,1
FLOORSMIN_MODE,3,1
LANDAREA_MODE,26,1
LIVINGAPARTMENTS_MODE,24,1
LIVINGAREA_MODE,25,1
NONLIVINGAPARTMENTS_MODE,4,1
NONLIVINGAREA_MODE,17,1
APARTMENTS_MEDI,27,1
BASEMENTAREA_MEDI,29,1
YEARS_BEGINEXPLUATATION_MEDI,34,1
YEARS_BUILD_MEDI,12,1
COMMONAREA_MEDI,23,1
ELEVATORS_MEDI,4,1
ENTRANCES_MEDI,21,1
